-79,89,-326,346,-741,771,-1324,1364,-2075,2125,-2994,3054,-4081,4151,-5336,5416,-6759,6849,-8350,8450
-74,94,-316,356,-726,786,-1304,1384,-2050,2150,-2964,3084,-4046,4186,-5296,5456,-6714,6894,-8300,8500
-73,95,-314,358,-723,789,-1300,1388,-2045,2155,-2958,3090,-4039,4193,-5288,5464,-6705,6903,-8290,8510
-71,97,-310,362,-717,795,-1292,1396,-2035,2165,-2946,3102,-4025,4207,-5272,5480,-6687,6921,-8270,8530
-67,101,-302,370,-705,807,-1276,1412,-2015,2185,-2922,3126,-3997,4235,-5240,5512,-6651,6957,-8230,8570
-62,106,-292,380,-690,822,-1256,1432,-1990,2210,-2892,3156,-3962,4270,-5200,5552,-6606,7002,-8180,8620
-61,107,-290,382,-687,825,-1252,1436,-1985,2215,-2886,3162,-3955,4277,-5192,5560,-6597,7011,-8170,8630
-89,91,-358,362,-807,813,-1436,1444,-2245,2255,-3234,3246,-4403,4417,-5752,5768,-7281,7299,-8990,9010
-87,93,-354,366,-801,819,-1428,1452,-2235,2265,-3222,3258,-4389,4431,-5736,5784,-7263,7317,-8970,9030
-83,97,-346,374,-789,831,-1412,1468,-2215,2285,-3198,3282,-4361,4459,-5704,5816,-7227,7353,-8930,9070
-79,101,-338,382,-777,843,-1396,1484,-2195,2305,-3174,3306,-4333,4487,-5672,5848,-7191,7389,-8890,9110
-77,103,-334,386,-771,849,-1388,1492,-2185,2315,-3162,3318,-4319,4501,-5656,5864,-7173,7407,-8870,9130
-73,107,-326,394,-759,861,-1372,1508,-2165,2335,-3138,3342,-4291,4529,-5624,5896,-7137,7443,-8830,9170
-69,111,-318,402,-747,873,-1356,1524,-2145,2355,-3114,3366,-4263,4557,-5592,5928,-7101,7479,-8790,9210
-59,121,-298,422,-717,903,-1316,1564,-2095,2405,-3054,3426,-4193,4627,-5512,6008,-7011,7569,-8690,9310
-101,103,-406,410,-915,921,-1628,1636,-2545,2555,-3666,3678,-4991,5005,-6520,6536,-8253,8271,-10190,10210
-97,107,-398,418,-903,933,-1612,1652,-2525,2575,-3642,3702,-4963,5033,-6488,6568,-8217,8307,-10150,10250
-95,109,-394,422,-897,939,-1604,1660,-2515,2585,-3630,3714,-4949,5047,-6472,6584,-8199,8325,-10130,10270
-91,113,-386,430,-885,951,-1588,1676,-2495,2605,-3606,3738,-4921,5075,-6440,6616,-8163,8361,-10090,10310
-89,115,-382,434,-879,957,-1580,1684,-2485,2615,-3594,3750,-4907,5089,-6424,6632,-8145,8379,-10070,10330
-83,121,-370,446,-861,975,-1556,1708,-2455,2645,-3558,3786,-4865,5131,-6376,6680,-8091,8433,-10010,10390
-77,127,-358,458,-843,993,-1532,1732,-2425,2675,-3522,3822,-4823,5173,-6328,6728,-8037,8487,-9950,10450
-71,133,-346,470,-825,1011,-1508,1756,-2395,2705,-3486,3858,-4781,5215,-6280,6776,-7983,8541,-9890,10510
-104,106,-418,422,-942,948,-1676,1684,-2620,2630,-3774,3786,-5138,5152,-6712,6728,-8496,8514,-10490,10510
-103,107,-416,424,-939,951,-1672,1688,-2615,2635,-3768,3792,-5131,5159,-6704,6736,-8487,8523,-10480,10520
-101,109,-412,428,-933,957,-1664,1696,-2605,2645,-3756,3804,-5117,5173,-6688,6752,-8469,8541,-10460,10540
